1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;empresa_competencia;NF
;C100;0;1;100013108;55;00;1;136764;29210202626466000112550010001367641100145943;25022021;02032021;8640;0;;;8640;9;;;;8640;1036,8;;;;;;;;;;;;;;;;;1;29210202626466000112550010001367641100145943
;C100;0;1;3528;55;00;101;578767;26210284140101053556551010005787671564834917;27022021;02032021;9699,03;0;;;9603;9;;;96,03;0;0;;;;;;;;;;;;;;;;;1;26210284140101053556551010005787671564834917
;C100;0;1;3732;55;00;1;719529;52210201519995000133550010007195291466889056;19022021;02032021;76058;0;;;76058;9;;;;76058;9126,96;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C100;0;1;1111;55;00;5;2162179;41210277579395000228550050021621791138201304;26022021;03032021;29934,33;0;;;29934,33;9;;;;29934,33;2095,4;;;;;;;;;;;;;;;;;1;41210277579395000228550050021621791138201304
;C100;0;1;118368790;55;00;1;44710;24210212024340000118550010000447101780758574;26022021;04032021;3613,05;0;;;3613,05;9;;;;3441;619,38;;;;;;;;;;;;;;;;;1;24210212024340000118550010000447101780758574
;C100;0;1;118388168;55;00;1;61667;24210283631016004897550010000616671914320002;27022021;04032021;5362,56;0;;;5362,56;9;;;;5362,56;965,26;;;;;;;;;;;;;;;;;1;24210283631016004897550010000616671914320002
;C100;0;1;118343548;55;00;1;42405;41210213233032000100550010000424051004580840;26022021;04032021;35222,4;0;;;35222,4;9;;;;35222,4;2465,57;;;;;;;;;;;;;;;;;1;41210213233032000100550010000424051004580840
;C100;0;1;100010033;55;00;2;556356;27210209997379000192550020005563561384519718;26022021;04032021;17030,34;0;;;16390,53;9;;;639,81;16961,51;2035,39;;;;;;;;;;;;;;;;;1;27210209997379000192550020005563561384519718
;C100;0;1;156;55;00;1;309549;26210302423534000192550010003095491227350929;01032021;04032021;28876,47;0;8850,63;;37727,1;9;;;;28876,47;3465,17;;;;;;;;;;;;;;;;;1;26210302423534000192550010003095491227350929
;C100;0;1;156;55;00;1;309199;26210202423534000192550010003091991905318827;26022021;04032021;4520,9;0;1275,1;;5796;9;;;;4520,9;180,84;;;;;;;;;;;;;;;;;1;26210202423534000192550010003091991905318827
;C100;0;1;118396589;55;00;1;37444;27210219692726000112550010000374441591439380;26022021;05032021;7022,4;0;;;7022,4;9;;;;7022,4;842,69;;;;;;;;;;;;;;;;;1;27210219692726000112550010000374441591439380
