1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;empresa_competencia;NF
;C197;RN00000016;;001912;3613,05;3,41;123,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210212024340000118550010000447101780758574
;C197;RN00000011;;002483;4826,5;6,1;294,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;242103107092970001365500100010054361524594028
;C197;RN00000011;;001754;10500;6,1;640,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;242103107092970001365500100010064181036211886
;C197;RN00000011;;002483;4826,5;6,1;294,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;242103107092970001365500100010071081056269962
;C197;RN00000011;;001479;532,8;6,1;32,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210301312723032916550010009101111912128795
;C197;RN00000011;;001754;10080;6,1;614,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;242103107092970001365500100010099051740599996
;C197;RN00000011;;002372;5285;6,1;322,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210110709297000136550010009816931709670035
;C197;RN00000011;;001754;14000;6,1;854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210110709297000136550010009816951063347664
;C197;RN00000011;;001661;38840;6,1;2369,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210101312723032916550010008891201178562849
;C197;RN00000011;;002372;5285;6,1;322,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210110709297000136550010009835391794891843
;C197;RN00000011;;001657;32544;6,1;1985,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210103237272000200550010000787101342521585
;C197;RN00000011;;001754;14000;6,1;854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210110709297000136550010009869061381565761
;C197;RN00000011;;000596;8330,6;6,1;508,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210101312723032916550010008937991130422485
;C197;RN00000011;;002146;791,64;6,1;48,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210113738587000109550010007342601852680524
;C197;RN00000011;;001754;14000;6,1;854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210110709297000136550010009919571778154095
;C197;RN00000011;;002348;92950;6,1;5669,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24210103237272000200550010000789361392481967
;C197;RN00000011;;001754;14000;6,1;854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;24210210709297000136550010009966491820076261
;C197;RN00000011;;000597;50,64;6,1;3,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;24210201312723032916550010009000731805627291
;C197;RN00000016;;002113;80;3,41;2,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;242102131367610001115500100000222031952003552
;C197;RN00000011;;1479;2830,32;6,1;172,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;24210201312723032916550010009015171788427946
;C197;RN00000011;;001754;14000;6,1;854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;24210210709297000136550010009997431545399510
;C197;RN00000011;;002145;272,96;6,1;16,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;24210213738587000109550010007420931210680086
