1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;empresa_competencia;NF
;C197;RN00000011;;002372;5285;6,1;322,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009816931709670035
;C197;RN00000011;;001754;14000;6,1;854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009816951063347664
;C197;RN00000011;;001661;38840;6,1;2369,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210101312723032916550010008891201178562849
;C197;RN00000011;;002372;5285;6,1;322,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009835391794891843
;C197;RN00000011;;001657;32544;6,1;1985,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210103237272000200550010000787101342521585
;C197;RN00000011;;001754;14000;6,1;854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009869061381565761
;C197;RN00000011;;000596;8330,6;6,1;508,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210101312723032916550010008937991130422485
;C197;RN00000011;;002146;791,64;6,1;48,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210113738587000109550010007342601852680524
;C197;RN00000011;;001754;14000;6,1;854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009919571778154095
;C197;RN00000011;;002348;92950;6,1;5669,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210103237272000200550010000789361392481967
