1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;empresa_competencia;NF
;C170;1;001448;;193;CX;20844;;0;000;2102;;20844;7;1459,08;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41201206164241000109550010001897881002209457
;C170;2;002061;;55;CX;7425;;0;000;2102;;7425;7;519,75;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41201206164241000109550010001897881002209457
;C170;1;002372;;350;PT;5285;;0;000;1102;;5285;18;951,3;0;;0;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009816931709670035
;C170;1;001754;;400;PC;14000;;0;000;1102;;14000;18;2520;0;;0;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009816951063347664
;C170;1;000596;;86;CX;2177,6;;0;000;1102;;2177,6;18;391,97;0;;0;;02;;;;;;;;;;;;;;;;;;;1;24210101312723032916550010008891201178562849
;C170;2;001661;;3600;PT;36662,4;;0;000;1102;;36662,4;18;6599,23;0;;0;;;;;;;;;;;;;;;;;;;;;1;24210101312723032916550010008891201178562849
;C170;1;002201;;64;BD;8768;;0;000;2102;;8768;12;1052,16;0;;0;;02;;;;;;;;;;;;;;;;;;;1;29201202626466000465550010000303891100311858
;C170;2;002202;;50;BD;1600;;0;000;2102;;1600;12;192;0;;0;;02;;;;;;;;;;;;;;;;;;;1;29201202626466000465550010000303891100311858
;C170;1;000686;;16;UN;190,4;;0;000;2910;;190,4;7;13,33;0;;0;;;;;;;;;;;;;;;;;;;;;1;35201264143031000107550010002771001590680399
;C170;1;001794;;800;UN;7480;;0;000;2102;;7480;7;523,6;0;;0;;02;;;;;;;;;;;;;;;;;;;1;35201264143031000107550010002770951907751080
;C170;2;000686;;640;UN;7616;;0;000;2102;;7616;7;533,12;0;;0;;02;;;;;;;;;;;;;;;;;;;1;35201264143031000107550010002770951907751080
;C170;3;002213;;48;UN;484,8;;0;000;2102;;484,8;7;33,94;0;;0;;02;;;;;;;;;;;;;;;;;;;1;35201264143031000107550010002770951907751080
;C170;4;000759;;16;UN;349,6;;0;000;2102;;349,6;7;24,47;0;;0;;02;;;;;;;;;;;;;;;;;;;1;35201264143031000107550010002770951907751080
;C170;5;002006;;48;UN;782,4;;0;000;2102;;782,4;7;54,77;0;;0;;02;;;;;;;;;;;;;;;;;;;1;35201264143031000107550010002770951907751080
;C170;6;001248;;50;UN;750;;0;000;2102;;750;7;52,5;0;;0;;02;;;;;;;;;;;;;;;;;;;1;35201264143031000107550010002770951907751080
;C170;1;002243;;168;UN;653,52;;0;000;2102;;653,52;12;78,42;0;;0;;02;;;;;;;;;;;;;;;;;;;1;27201219692726000112550010000365161838390854
;C170;2;002244;;72;UN;280,08;;0;000;2102;;280,08;12;33,61;0;;0;;02;;;;;;;;;;;;;;;;;;;1;27201219692726000112550010000365161838390854
;C170;3;002245;;600;UN;4668;;0;000;2102;;4668;12;560,16;0;;0;;02;;;;;;;;;;;;;;;;;;;1;27201219692726000112550010000365161838390854
;C170;4;002246;;640;UN;3963,2;;0;000;2102;;3963,2;12;475,58;0;;0;;;;;;;;;;;;;;;;;;;;;1;27201219692726000112550010000365161838390854
;C170;5;002247;;190;UN;940,5;;0;000;2102;;940,5;12;112,86;0;;0;;;;;;;;;;;;;;;;;;;;;1;27201219692726000112550010000365161838390854
;C170;1;001879;;305,23;KG;6705,9;;0;000;2102;;6705,9;7;469,41;0;;0;;;;;;;;;;;;;;;;;;;;;1;43201289993239000183550010019334461254676122
;C170;2;001742;;420;PC;7875;;0;000;2102;;7875;7;551,25;0;;0;;02;;;;;;;;;;;;;;;;;;;1;43201289993239000183550010019334461254676122
;C170;3;000579;;360;PT;12600;;0;000;2102;;12600;7;882;0;;0;;02;;;;;;;;;;;;;;;;;;;1;43201289993239000183550010019334461254676122
;C170;4;000624;;392;PT;24604,41;;0;000;2102;;24604,41;7;1722,31;0;;0;;;;;;;;;;;;;;;;;;;;;1;43201289993239000183550010019334461254676122
;C170;1;000734;;100;CX;2420,04;;0;000;1102;;2420,04;18;435,61;0;;0;;;;;;;;;;;;;;;;;;;;;1;24201283631016004897550010000568501659306210
;C170;2;001603;;450;UN;2614,05;;0;000;1102;;2614,05;18;470,53;0;;0;;02;;;;;;;;;;;;;;;;;;;1;24201283631016004897550010000568501659306210
;C170;3;000928;;69,72;KG;979,57;;0;000;1102;;979,57;18;176,32;0;;0;;02;;;;;;;;;;;;;;;;;;;1;24201283631016004897550010000568501659306210
;C170;4;001307;;180;KG;3366;;0;020;1102;;2244;18;403,92;0;;0;;;;;;;;;;;;;;;;;;;;;1;24201283631016004897550010000568501659306210
;C170;5;001590;;25,95;KG;677,81;;0;000;1102;;677,81;18;122,01;0;;0;;;;;;;;;;;;;;;;;;;;;1;24201283631016004897550010000568501659306210
;C170;1;001431;;4800;UN;12797,4;;0;000;2102;;12188;12;1462,56;0;;0;;;;;;;;;;;;;;;;;;;;;1;29201208089790000107550010002082871718912897
;C170;2;001503;;1200;UN;3199,35;;0;000;2102;;3047;12;365,64;0;;0;;;;;;;;;;;;;;;;;;;;;1;29201208089790000107550010002082871718912897
;C170;1;002372;;350;PT;5285;;0;000;1102;;5285;18;951,3;0;;0;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009835391794891843
;C170;1;001657;;2400;PT;32544;;0;000;1102;;32544;18;5857,92;0;;0;;;;;;;;;;;;;;;;;;;;;1;24210103237272000200550010000787101342521585
;C170;1;001533;;120;UN;1919,6;;0;000;2102;;1919,6;12;230,35;0;;0;;;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;2;000924;;60;UN;884,1;;0;000;2102;;884,1;12;106,09;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;3;001226;;50;CX;1257,5;;0;000;2102;;1257,5;12;150,9;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;4;000926;;1800;UN;11490;;0;000;2102;;11490;12;1378,8;0;;0;;;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;5;001351;;50;CX;2137;;0;000;2102;;2137;12;256,44;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;6;001350;;600;UN;9597;;0;000;2102;;9597;12;1151,64;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;7;002322;;10;CX;251,5;;0;000;2102;;251,5;12;30,18;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;8;001224;;30;CX;754,5;;0;000;2102;;754,5;12;90,54;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;9;001222;;50;CX;1225;;0;000;2102;;1225;12;147;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;10;000927;;1800;UN;11490;;0;000;2102;;11490;12;1378,8;0;;0;;;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C170;1;002361;;1600;KG;18752;;0;000;2102;;18752;7;1312,64;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41210176163731000786550010023326161468107317
;C170;2;002363;;3840;KG;40896;;0;000;2102;;40896;7;2862,72;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41210176163731000786550010023326161468107317
;C170;3;002362;;1600;KG;12736;;0;000;2102;;12736;7;891,52;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41210176163731000786550010023326161468107317
;C170;1;002086;;2550;KG;24225;;0;000;2102;;24225;7;1695,75;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41210177379293006048550010013341511160975319
;C170;1;002457;;1030;PT;12360;;0;000;2102;;12360;4;494,4;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41210177379293006048550010013341501105310869
;C170;2;002351;;2475;KG;23512,5;;0;000;2102;;23512,5;7;1645,88;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41210177379293006048550010013341501105310869
;C170;1;000629;;300;CX;7814,88;;0;000;1102;;7814,88;18;1406,68;0;;0;;02;;;;;;;;;;;;;;;;;;;1;24210183631016004897550010000570811587687290
;C170;1;001534;;200;PC;6568,32;;0;000;1102;;6568,32;18;1182,3;0;;0;;;;;;;;;;;;;;;;;;;;;1;24210183631016004897550010000572071209865087
;C170;2;001603;;450;UN;2645,55;;0;000;1102;;2645,55;18;476,2;0;;0;;;;;;;;;;;;;;;;;;;;;1;24210183631016004897550010000572071209865087
;C170;1;002282;;4002;PT;47943,96;;0;000;2102;;47943,96;4;1917,76;0;;0;;02;;;;;;;;;;;;;;;;;;;1;42210111710307000284550080000867271390295102
;C170;1;001627;;40;CX;1362,87;40,51;0;000;2102;;1322,36;12;158,68;0;;0;;;;;;;;;;;;;;;;;;;;;1;52201200805458000707550010001686261722179767
;C170;2;000701;;1200;UN;9375,36;278,68;0;000;2102;;9096,68;12;1091,6;0;;0;;;;;;;;;;;;;;;;;;;;;1;52201200805458000707550010001686261722179767
;C170;3;002013;;640;UN;641,74;19,07;0;000;2102;;622,67;12;74,72;0;;0;;;;;;;;;;;;;;;;;;;;;1;52201200805458000707550010001686261722179767
;C170;4;001748;;200;CX;12570;373,64;0;000;2102;;12196,36;12;1463,56;0;;0;;;;;;;;;;;;;;;;;;;;;1;52201200805458000707550010001686261722179767
;C170;5;002302;;100;CX;4527,71;134,58;0;000;2102;;4393,13;12;527,18;0;;0;;;;;;;;;;;;;;;;;;;;;1;52201200805458000707550010001686261722179767
;C170;6;002338;;50;CX;2157,4;64,13;0;000;2102;;2093,27;12;251,19;0;;0;;;;;;;;;;;;;;;;;;;;;1;52201200805458000707550010001686261722179767
;C170;7;001055;;1600;UN;2054,24;61,06;0;000;2102;;1993,18;12;239,18;0;;0;;;;;;;;;;;;;;;;;;;;;1;52201200805458000707550010001686261722179767
;C170;8;000149;;960;UN;953,94;28,36;0;000;2102;;925,58;12;111,07;0;;0;;;;;;;;;;;;;;;;;;;;;1;52201200805458000707550010001686261722179767
;C170;1;002201;;64;BD;8768;;0;000;2102;;8768;12;1052,16;0;;0;;02;;;;;;;;;;;;;;;;;;;1;29210102626466000465550010000304541100129540
